"Record ID","Deal Name","Project ID","Tier 1 (Reseller)","Tier 2 (Reseller Sales Org)","AADT (site)","Deal Stage","State (install site)","Country (install site)","Latitude/Longitude (install site)","Postal Code (install site)"
"14453853881","Thomason ADA LLC - 9095 Dunn Rd","RF001","Apex Omnisource","RevStream","181000","Purgatory","MO","USA","38.77948118612946, -90.35731598610356","63042"
"16005747341","MF Technology Systems, LLC - 5935 Rivers Ave","AB193","Apex Omnisource","SVR-Surge Venture Resellers","178000","8. Ops Review","SC","USA","32.90258547350333, -80.02131692527675","29406"
"16451747087","SWS JBAK Consulting - 733 Polk Blvd","AB192","SWS","SWS","125000","9. Equipment Review","IA","United States","41.59104054807092, -93.68006627375064","50312"
"15315209985","Greenlight Distribution - Caspers Electronics - 5840 Byrd Dr Loveland CO 90538","AB190","OG Guard","OG Guard","82462","8. Ops Review","CO","USA","","90538"
"15413849923","Greenlight Distribution - Elite Cannabis - 1410 S Santa Fe Dr Denver CO 80223","AB189","OG Guard","OG Guard","53688","8. Ops Review","CO","USA","","80223"
"16039055202","Jakleen Charitan - 1021 N Sepulveda Blvd","AB188","OG Guard","OG Guard","77321","8. Ops Review","CA","USA","","90266"
"16533470793","Rooftop Revenues - Parts Place/Recycle Jack - 2500 Commercial Dr","AB187","OG Guard","OG Guard","121205","5A. Site Hold Paid","MI","usa","","48326"
"16605428403","(Sub-Prime)Klok Applications, LLC - 200 N Via Cortez, Anaheim CA","AB186","Apex Omnisource","RevStream","320667","8. Ops Review","CA","","","92807"
"17159318669","Hindi-Mex - 2441 S El Camino Real, San Clemente, CA 92672","AB185","C&M Consultants","Access Digital","150000","8. Ops Review","CA","USA","","92672"
"15329252667","Greenlight Distribution - Pullins Black Top - 2338 Scioto Harper Dr","AB184","OG Guard","OG Guard","161610","9. Equipment Review","OH","USA","","43204"
"15449817917","Greenlight Distribution - Tharp Realty - 6910 Shadeland Ave","AB183","OG Guard","OG Guard","196991","9. Equipment Review","IN","USA","","46220"
"15449763082","Greenlight Distribution - Valley Industrial Trucking - 1620 E. Market St.","AB182","OG Guard","OG Guard","114657","Purgatory","OH","USA","","44305"
"14929483060","TIC of Houston - 20 Pack II -  Nooner Holdings LTD - 7555 NW Loop 410","AB181","OG Guard","OG Guard","157376","8. Ops Review","TX","USA","","78245"
"14928187691","TIC of Houston - 20 Pack II -  Commerce Office Park-one  LP - 4455 S.Padre Island Dr","AB180","OG Guard","OG Guard","129040","8. Ops Review","TX","USA","","78411"
"15705482067","Silent ID LLC - I-55 & 270, St. Louis, MO","AB179","Apex Omnisource","RevStream","124808","9. Equipment Review","MO","usa","38.509743, -90.337133","63128"
