id_x,network,site_id,location,box,label_x,timestamp,host_timestamp,label_y,status_x,alert_type,extra_data,linked_alerthistory,id_y,subject,priority,status_y,type,due_by,created_at,cf_system,cf_site_location
,,9196,,,AA049,,,,,,,,1512.0,AA049-MEX-3060 (TC) | Media Players/ISP offline,1.0,5.0,Incident,2023-08-29T18:37:07Z,2023-08-18T18:37:07Z,Server and Media Players,AA049
,,9201,,,AA177,,,,,,,,4218.0,AA177-Mason City Arena2 - Outage,3.0,5.0,Incident,2024-04-09T19:51:21Z,2024-04-08T20:51:21Z,Server and Media Players,AA177
48966391.0,2897.0,9219,93720.0,103067.0,AA050,2024-06-07T03:15:03,,Upload Period Alert,raised,1.0,,,1546.0,AA050-MEX-3087 | Upload Period Error,1.0,5.0,Incident,2023-09-01T16:26:53Z,2023-08-23T16:26:53Z,Server and Media Players,AA050
48966257.0,2897.0,9219,93719.0,103066.0,AA050,2024-06-07T03:00:03,,Upload Period Alert,raised,1.0,,,1546.0,AA050-MEX-3087 | Upload Period Error,1.0,5.0,Incident,2023-09-01T16:26:53Z,2023-08-23T16:26:53Z,Server and Media Players,AA050
48966256.0,2897.0,9219,93718.0,103065.0,AA050,2024-06-07T03:00:03,,Upload Period Alert,raised,1.0,,,1546.0,AA050-MEX-3087 | Upload Period Error,1.0,5.0,Incident,2023-09-01T16:26:53Z,2023-08-23T16:26:53Z,Server and Media Players,AA050
,,9221,,,AA071,,,,,,,,,,,,,,,,
,,9274,,,AA072,,,,,,,,871.0,AA072 MEX 3067,3.0,5.0,Incident,2023-06-07T17:43:56Z,2023-06-06T18:43:56Z,Server and Media Players,AA072
,,9276,,,AA051,,,,,,,,,,,,,,,,
48815241.0,2897.0,9277,94198.0,103522.0,AA042,2024-05-23T12:30:03,,Upload Period Alert,raised,1.0,,,1478.0,AA042-MEX-3057 | Media Player 2 Offline,1.0,5.0,Incident,2023-08-24T16:20:54Z,2023-08-15T16:20:54Z,Server and Media Players,AA042
48815240.0,2897.0,9277,94197.0,103521.0,AA042,2024-05-23T12:30:03,,Upload Period Alert,raised,1.0,,,1478.0,AA042-MEX-3057 | Media Player 2 Offline,1.0,5.0,Incident,2023-08-24T16:20:54Z,2023-08-15T16:20:54Z,Server and Media Players,AA042
48815242.0,2897.0,9277,94199.0,103523.0,AA042,2024-05-23T12:30:03,,Upload Period Alert,raised,1.0,,,1478.0,AA042-MEX-3057 | Media Player 2 Offline,1.0,5.0,Incident,2023-08-24T16:20:54Z,2023-08-15T16:20:54Z,Server and Media Players,AA042
,,9278,,,AA077,,,,,,,,1647.0,AA077-MEX-3056 | Upload Period Error,1.0,5.0,Incident,2023-09-15T21:00:00Z,2023-09-06T22:35:33Z,Server and Media Players,AA077
48871930.0,2897.0,9279,94193.0,103517.0,AA040,2024-05-29T03:14:58,2024-05-28T20:14:58,Timezone Change Alert,terminated,10.0,,48871656.0,,,,,,,,,
48871905.0,2897.0,9279,94191.0,103515.0,AA040,2024-05-29T03:11:28,2024-05-28T20:11:27,Timezone Change Alert,terminated,10.0,,48871660.0,,,,,,,,,
48871880.0,2897.0,9279,94192.0,103516.0,AA040,2024-05-29T03:08:07,2024-05-28T20:08:07,Timezone Change Alert,terminated,10.0,,48871658.0,,,,,,,,,
48871661.0,2897.0,9279,94191.0,103515.0,AA040,2024-05-29T02:41:12,2024-05-28T19:41:10,Upload Error Alert,raised,7.0,,,,,,,,,,,
48871660.0,2897.0,9279,94191.0,103515.0,AA040,2024-05-29T02:41:12,2024-05-28T19:41:10,Timezone Change Alert,raised,10.0,,48871905.0,,,,,,,,,
48871658.0,2897.0,9279,94192.0,103516.0,AA040,2024-05-29T02:41:12,2024-05-28T19:41:10,Timezone Change Alert,raised,10.0,,48871880.0,,,,,,,,,
48871659.0,2897.0,9279,94192.0,103516.0,AA040,2024-05-29T02:41:12,2024-05-28T19:41:10,Upload Error Alert,raised,7.0,,,,,,,,,,,
48871657.0,2897.0,9279,94193.0,103517.0,AA040,2024-05-29T02:41:12,2024-05-28T19:41:10,Upload Error Alert,raised,7.0,,,,,,,,,,,
48871656.0,2897.0,9279,94193.0,103517.0,AA040,2024-05-29T02:41:12,2024-05-28T19:41:10,Timezone Change Alert,raised,10.0,,48871930.0,,,,,,,,,
,,9280,,,AA075,,,,,,,,1473.0,AA075-MEX-3053 | Media Player 2 & 3 Offline,3.0,5.0,Incident,2023-08-16T13:21:53Z,2023-08-15T14:21:53Z,Server and Media Players,AA075
,,9281,,,AA041,,,,,,,,1479.0,AA041-MEX-3052 | Media Player 1 & 2 Offline,3.0,5.0,Incident,2023-08-16T15:37:26Z,2023-08-15T16:37:26Z,Server and Media Players,AA041
48978355.0,2898.0,9282,94256.0,103580.0,AA177,2024-06-08T09:03:40,2024-06-08T02:03:39,Refused Events Alert,terminated,8.0,,48978042.0,4218.0,AA177-Mason City Arena2 - Outage,3.0,5.0,Incident,2024-04-09T19:51:21Z,2024-04-08T20:51:21Z,Server and Media Players,AA177
48978042.0,2898.0,9282,94256.0,103580.0,AA177,2024-06-08T08:03:07,2024-06-08T01:03:06,Refused Events Alert,raised,8.0,,48978355.0,4218.0,AA177-Mason City Arena2 - Outage,3.0,5.0,Incident,2024-04-09T19:51:21Z,2024-04-08T20:51:21Z,Server and Media Players,AA177
49088787.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-19T02:52:21,2024-06-18T20:52:21,Refused Events Alert,terminated,8.0,,49088199.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49088199.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-19T01:44:36,2024-06-18T19:44:35,Refused Events Alert,raised,8.0,,49088787.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49085887.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-18T21:23:54,2024-06-18T15:23:54,Refused Events Alert,terminated,8.0,,49085380.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49085380.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-18T20:15:10,2024-06-18T14:15:10,Refused Events Alert,raised,8.0,,49085887.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49064654.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-16T20:03:00,2024-06-16T14:02:59,Refused Events Alert,terminated,8.0,,49064265.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49064265.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-16T19:07:50,2024-06-16T13:07:49,Refused Events Alert,raised,8.0,,49064654.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49060374.0,2896.0,9283,94178.0,103502.0,AA034,2024-06-16T08:59:05,2024-06-16T02:59:04,Input or License Errors Alert,terminated,3.0,Input Lost,49060060.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49060346.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-16T08:53:14,2024-06-16T02:53:14,Input or License Errors Alert,terminated,3.0,Input Lost,49060204.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49060204.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-16T08:25:55,2024-06-16T02:25:54,Input or License Errors Alert,raised,3.0,Input Lost,49060346.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49060060.0,2896.0,9283,94178.0,103502.0,AA034,2024-06-16T08:00:42,2024-06-16T02:00:41,Input or License Errors Alert,raised,3.0,Input Lost,49060374.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49026361.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-13T01:25:10,2024-06-12T19:25:09,Input or License Errors Alert,terminated,3.0,"Processing,Black Input",49026064.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
49026064.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-13T00:52:57,2024-06-12T18:52:57,Input or License Errors Alert,raised,3.0,"Processing,Black Input",49026361.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
48997102.0,2896.0,9283,94178.0,103502.0,AA034,2024-06-10T05:20:18,2024-06-09T23:20:17,Refused Events Alert,terminated,8.0,,48996581.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
48996581.0,2896.0,9283,94178.0,103502.0,AA034,2024-06-10T04:07:02,2024-06-09T22:07:01,Refused Events Alert,raised,8.0,,48997102.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
48995200.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-10T01:15:14,2024-06-09T19:15:13,Input or License Errors Alert,terminated,3.0,"Processing,Black Input",48994970.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
48994970.0,2896.0,9283,94179.0,103503.0,AA034,2024-06-10T00:50:05,2024-06-09T18:50:05,Input or License Errors Alert,raised,3.0,"Processing,Black Input",48995200.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
48988333.0,2896.0,9283,94178.0,103502.0,AA034,2024-06-09T09:00:56,2024-06-09T03:00:55,Input or License Errors Alert,terminated,3.0,Input Lost,48988015.0,2936.0,AA034-CLV-544 - Quividi report - box-103502,1.0,5.0,Incident,2024-03-13T17:44:41Z,2024-03-04T18:44:41Z,Server and Media Players,AA034
